Month-Year,Demand Charge ($),Original Demand Charge ($),Billing Period,Energy Charge ($),Original Energy Charge ($)
2025-01,712.72,827.27,2,,
2025-01,,,3,3975.50,3974.94
2025-02,704.80,849.15,2,,
2025-02,,,3,3544.24,3539.87
2025-03,745.43,896.31,2,,
2025-03,,,3,3998.67,3994.57
2025-04,879.81,1116.62,2,,
2025-04,,,3,4572.25,4557.07
2025-05,1038.57,1305.92,2,,
2025-05,,,3,5173.76,5163.56
2025-06,4302.09,5237.05,1,,
2025-06,1460.20,1495.75,2,,
2025-06,,,3,5928.30,5921.31
2025-07,4338.84,5482.91,1,,
2025-07,1413.93,1565.97,2,,
2025-07,,,3,6774.61,6763.15
2025-08,4130.85,5422.31,1,,
2025-08,1445.41,1548.66,2,,
2025-08,,,3,6311.03,6294.74
2025-09,3781.00,4761.79,1,,
2025-09,1197.72,1370.35,2,,
2025-09,,,3,5950.71,5938.39
2025-10,868.67,1155.20,2,,
2025-10,,,3,4612.56,4604.04
2025-11,903.22,1160.89,2,,
2025-11,,,3,4359.68,4349.46
2025-12,766.58,869.89,2,,
2025-12,,,3,4280.82,4269.82
